system,code,display,tty,source_code,sab,ndc_example,ncbi_url,component,property,loinc_class
rxnorm,161,acetaminophen,IN,161,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/161,,,
rxnorm,3002,cyclophosphamide,IN,3002,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/3002,,,
rxnorm,3639,doxorubicin,IN,3639,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/3639,,,
rxnorm,4493,fluoxetine,IN,4493,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/4493,,,
rxnorm,5487,hydrochlorothiazide,IN,5487,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/5487,,,
rxnorm,5640,ibuprofen,IN,5640,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/5640,,,
rxnorm,6809,metformin,IN,6809,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/6809,,,
rxnorm,17767,amlodipine,IN,17767,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/17767,,,
rxnorm,29046,lisinopril,IN,29046,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/29046,,,
rxnorm,36437,sertraline,IN,36437,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/36437,,,
rxnorm,69722,zanamivir,IN,69722,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/69722,,,
rxnorm,321988,escitalopram,IN,321988,RXNORM,"",https://rxnav.nlm.nih.gov/REST/rxcui/321988,,,
Ser/Plas,10334-1,Cancer Ag 125 [Units/volume] in Serum or Plasma,,,,,https://loinc.org/10334-1,Cancer Ag 125,ACnc,CHEM
Ser/Plas,10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/10839-9,Troponin I.cardiac,MCnc,CHEM
Ser/Plas,13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,,,,,https://loinc.org/13457-7,Cholesterol.in LDL,MCnc,CHEM
Ser/Plas,13969-1,Creatine kinase.MB [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/13969-1,Creatine kinase.MB,MCnc,CHEM
Ser/Plas,14804-9,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,,,,,https://loinc.org/14804-9,Lactate dehydrogenase,CCnc,CHEM
Urine,14957-5,Microalbumin [Mass/volume] in Urine,,,,,https://loinc.org/14957-5,Albumin,MCnc,CHEM
Ser/Plas,1558-6,Fasting glucose [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/1558-6,Glucose^post CFst,MCnc,CHAL.ROUTINE
Ser/Plas,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,,,,,https://loinc.org/1742-6,Alanine aminotransferase,CCnc,CHEM
Ser/Plas,1751-7,Albumin [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/1751-7,Albumin,MCnc,CHEM
Ser/Plas,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,,,,,https://loinc.org/1920-8,Aspartate aminotransferase,CCnc,CHEM
